date,Equity,ReturnDaily,Abs(ReturnDaily),C2LeverageWght,RetDivLev,RetDivLevRoll180,LevSMA7,RetDivLevSMA7,RetDivLevSMA7_180,DB_LeverageWght180,DB_LeverageWghtSMA7180
2020-06-19,66354.62,0.001176886,0.001176886,0.87,0.135274207,0.940097258,0.412857143,0.285058797,1.293158272,0.940097,1.293158
2020-06-20,66354.62,0,0,0.87,0,0.939408186,0.525714286,0,1.292474567,0.939408,1.292475
2020-06-21,66354.62,0,0,0.87,0,0.936316621,0.638571429,0,1.289368533,0.936317,1.289369
2020-06-22,66580.62,0.003405942,0.003405942,0.86,0.39603979,0.938516842,0.75,0.454125626,1.291891453,0.938517,1.291891
2020-06-23,66620.29,0.000595819,0.000595819,0.9,0.066202114,0.931603327,0.872857143,0.068260772,1.285012165,0.931603,1.285012
2020-06-24,66512.48,-0.001618276,0.001618276,0.83,0.194972982,0.931520887,0.867142857,0.186621586,1.284886976,0.931521,1.284887
2020-06-25,66522.85,0.000155911,0.000155911,0.26,0.059965612,0.931854029,0.78,0.019988537,1.284998024,0.931854,1.284998
2020-06-26,66472.88,-0.00075117,0.00075117,0.38,0.197676437,0.932952231,0.71,0.105798657,1.285585794,0.932952,1.285586
2020-06-27,66472.88,0,0,0.38,0,0.929785552,0.64,0,1.282429025,0.929786,1.282429
2020-06-28,66472.88,0,0,0.38,0,0.927640848,0.57,0,1.280287684,0.927641,1.280288
2020-06-29,66315.98,-0.002360361,0.002360361,0.49,0.481706346,0.930316995,0.517142857,0.456423417,1.28282337,0.930317,1.282823
2020-06-30,66501.48,0.002797214,0.002797214,0.26,1.07585161,0.924551255,0.425714286,0.657063735,1.274952939,0.924551,1.274953
2020-07-01,66568.52,0.001008098,0.001008098,0.34,0.296499372,0.917332791,0.355714286,0.283401006,1.267633784,0.917333,1.267634
2020-07-02,66567.14,-2.07305E-05,2.07305E-05,0.41,0.005056224,0.917360881,0.377142857,0.005496729,1.267664321,0.917361,1.267664
2020-07-03,66567.14,0,0,0.41,0,0.917360881,0.381428571,0,1.267664321,0.917361,1.267664
2020-07-04,66567.14,0,0,0.41,0,0.913013964,0.385714286,0,1.263303712,0.913014,1.263304
2020-07-05,66567.14,0,0,0.41,0,0.907846011,0.39,0,1.258119483,0.907846,1.258119
2020-07-06,66817.3,0.00375801,0.00375801,0.37,1.015678469,0.907583103,0.372857143,1.007895492,1.257850595,0.907583,1.257851
